Time,Average,F <=15,F 15-25,F 25-35,F 35-45,F 45-55,F 55-65,F 65+,M <=15,M 15-25,M 25-35,M 35-45,M 45-55,M 55-65,M 65+
0,1.23,1.09,1.66,1.36,1.13,1.39,0.72,0.86,1.26,1.7,1.58,1.26,1.49,0.81,0.97
1,1.12,0.86,1.79,1,1.06,1.26,0.76,0.7,0.75,1.79,1.7,0.88,1.43,0.72,0.92
2,0.73,0.68,0.97,0.43,0.5,1,0.56,0.45,0.61,1.43,0.85,0.86,0.72,0.64,0.49
3,0.56,0.56,0.5,0.53,0.43,0.82,0.48,0.45,0.5,0.78,0.54,0.56,0.69,0.43,0.54
4,1.08,0.89,0.75,0.73,0.99,1.11,1.32,1.16,0.93,1.31,1.04,0.91,1.35,1.41,1.24
5,1.40,1.04,0.81,0.83,1.15,1.83,2.08,1.41,1.01,1.64,1,1.21,1.83,1.79,1.94
6,2.24,1.58,1.5,1.46,1.78,2.13,3.95,2.42,1.67,1.76,1.39,1.85,2.63,3.88,3.34
7,3.52,2.57,2.04,2.26,2.62,3.68,6.07,5.04,2.49,2.39,1.73,2.88,3.5,5.42,6.53
8,4.87,3.93,2.51,3.6,4.18,4.32,7.31,7.55,3.77,2.68,3.55,4.6,4.59,6.44,9.17
9,6.13,4.44,3.98,5.19,4.77,5.12,8.42,9.82,4.43,4.12,5.36,5.76,5.2,7.59,11.65
10,6.73,5.38,5.01,5.33,5.81,6.25,8.02,10.07,5.48,5.37,5.59,6.37,6.74,7.46,11.38
11,6.79,4.73,6.46,4.33,5.74,6.51,8.22,10.52,5.05,6.09,5.66,5.64,6.79,7.72,11.65
12,6.47,4.69,6.89,5.03,5.13,6.69,7.7,8.76,4.88,7.13,5.86,4.88,6.79,7.63,8.52
13,7.48,6.03,7.77,6.46,6.01,7.59,7.35,10.47,6.27,7.61,6.63,6.27,7.46,8.14,10.63
14,8.50,7.04,9.21,6.59,7.41,8.43,8.46,11.03,7.15,9.64,7.67,7.1,8.91,8.44,11.87
15,8.78,6.92,8.59,6.96,7.86,8.67,9.5,11.33,7.28,10.08,7.51,7.43,8.97,9.3,12.51
16,8.65,6.77,10.06,6.62,7.66,9.03,9.38,10.52,7,10.56,7.63,7.2,9.47,8.91,10.25
17,8.02,6.59,8.52,6.29,7.75,9.23,8.54,8.76,6.94,10.71,6.32,7.2,9.23,7.85,8.41
18,8.72,6.77,8.81,6.72,8.79,8.97,9.82,9.11,6.81,10.8,7.98,8.06,9.34,10.49,9.55
19,10.87,8.75,10.56,9.02,10.46,11.91,12.26,11.68,8.58,11.81,10.33,9.96,11.44,12.58,12.89
20,12.04,10.99,12.47,12.62,12.2,12.37,11.46,10.93,11.32,13.07,12.64,12.26,12.76,12.67,10.84
21,12.15,12.86,12.1,13.42,12.74,12.63,10.7,10.07,12.43,12.8,13.33,13.68,12.42,11.47,9.39
22,7.66,8.65,8.68,7.99,8.2,7.97,5.71,6.34,8.12,8.89,8.82,8.04,8.3,6.57,4.96
23,1.41,1.48,2.16,1.7,1.17,1.67,1,0.6,1.47,1.88,1.58,1.26,1.72,0.98,1.02
